|'diaqua(15-crown-5)iron(II) nitrate'|||Acta Crystallographica, Section B|2008 64(6) 738 749
C10 H24 Fe N2 O13
H3A_9 ? ? 0.3615 0.7043 0.3891 0.1072(19) 0.021
H3B_9 ? ? 0.3627 0.5927 0.3888 0.1072(19) 0.021
C4_9 ? ? 0.2323(9) 0.6471(10) 0.38418(13) 0.1072(19) 0.0175(2)
H4A_9 ? ? 0.2208 0.6382 0.3974 0.1072(19) 0.021
H4B_9 ? ? 0.2041 0.7061 0.3795 0.1072(19) 0.021
C5_9 ? ? 0.1005(8) 0.5589(11) 0.37186(17) 0.1072(19) 0.0210(2)
H5A_9 ? ? 0.0688 0.6146 0.3664 0.1072(19) 0.025
H5B_9 ? ? 0.0835 0.5491 0.3846 0.1072(19) 0.025
C6_9 ? ? 0.0753(7) 0.4725(10) 0.35929(18) 0.1072(19) 0.0228(2)
H6A_9 ? ? 0.1020 0.4158 0.3654 0.1072(19) 0.027
H6B_9 ? ? 0.0088 0.4648 0.3571 0.1072(19) 0.027
C7_9 ? ? 0.1054(8) 0.4116(9) 0.32846(18) 0.1072(19) 0.0207(2)
H7A_9 ? ? 0.0415 0.3928 0.3252 0.1072(19) 0.025
H7B_9 ? ? 0.1397 0.3578 0.3341 0.1072(19) 0.025
C8_9 ? ? 0.1434(9) 0.4417(10) 0.31142(15) 0.1072(19) 0.0201(2)
H8A_9 ? ? 0.1564 0.3873 0.3038 0.1072(19) 0.024
H8B_9 ? ? 0.0999 0.4823 0.3037 0.1072(19) 0.024
C9_9 ? ? 0.2960(9) 0.4932(10) 0.30491(13) 0.1072(19) 0.0167(2)
H9A_9 ? ? 0.2679 0.4931 0.2917 0.1072(19) 0.020
H9B_9 ? ? 0.3349 0.4377 0.3070 0.1072(19) 0.020
C10_9 ? ? 0.3518(9) 0.5813(11) 0.30912(13) 0.1072(19) 0.0176(2)
H10A_9 ? ? 0.4078 0.5793 0.3030 0.1072(19) 0.021
H10B_9 ? ? 0.3166 0.6369 0.3047 0.1072(19) 0.021
O6_4 ? ? 0.1748(3) 0.6730(3) 0.45514(5) 1 0.02081(16)
H1W_4 ? ? 0.164(4) 0.717(2) 0.4623(5) 1 0.025
H2W_4 ? ? 0.176(3) 0.695(2) 0.4440(2) 1 0.025
O7_4 ? ? 0.3166(3) 0.4394(3) 0.47867(5) 1 0.02090(17)
H3W_4 ? ? 0.329(3) 0.3856(14) 0.4752(5) 1 0.025
H4W_4 ? ? 0.352(2) 0.448(3) 0.4887(4) 1 0.025
Fe4_4 ? ? 0.24573(6) 0.55683(7) 0.466663(11) 1 0.01219(7)
O1_4 ? ? 0.1254(2) 0.5225(3) 0.48319(5) 1 0.01543(15)
O2_4 ? ? 0.1622(2) 0.4486(3) 0.44938(5) 1 0.01650(15)
O3_4 ? ? 0.2982(2) 0.5517(3) 0.43727(4) 1 0.01685(16)
O4_4 ? ? 0.3789(2) 0.6365(3) 0.46921(5) 1 0.01722(15)
O5_4 ? ? 0.2671(2) 0.6241(3) 0.49539(5) 1 0.02154(16)
C1_4 ? ? 0.0793(4) 0.4357(4) 0.47687(8) 1 0.0203(2)
H11_4 ? ? 0.0177 0.4316 0.4818 1 0.024
H12_4 ? ? 0.1168 0.3808 0.4818 1 0.024
C2_4 ? ? 0.0696(3) 0.4384(5) 0.45455(7) 1 0.0205(2)
H21_4 ? ? 0.0412 0.3797 0.4490 1 0.025
H22_4 ? ? 0.0306 0.4923 0.4496 1 0.025
C3_4 ? ? 0.1674(3) 0.4535(4) 0.42874(7) 1 0.0178(2)
H31_4 ? ? 0.1302 0.5069 0.4229 1 0.021
H32_4 ? ? 0.1443 0.3947 0.4222 1 0.021
C4_4 ? ? 0.2698(4) 0.4677(4) 0.42657(7) 1 0.0175(2)
H41_4 ? ? 0.3063 0.4131 0.4320 1 0.021
H42_4 ? ? 0.2793 0.4746 0.4125 1 0.021
C5_4 ? ? 0.3952(3) 0.5727(4) 0.43808(7) 1 0.0210(2)
H51_4 ? ? 0.4126 0.5850 0.4247 1 0.025
H52_4 ? ? 0.4326 0.5194 0.4439 1 0.025
C6_4 ? ? 0.4109(4) 0.6562(5) 0.45038(7) 1 0.0228(2)
H61_4 ? ? 0.4777 0.6720 0.4521 1 0.027
H62_4 ? ? 0.3765 0.7104 0.4441 1 0.027
C7_4 ? ? 0.3766(4) 0.7169(4) 0.48151(8) 1 0.0207(2)
H71_4 ? ? 0.3330 0.7644 0.4753 1 0.025
H72_4 ? ? 0.4390 0.7455 0.4839 1 0.025
C8_4 ? ? 0.3447(4) 0.6832(4) 0.50064(8) 1 0.0201(2)
H81_4 ? ? 0.3948 0.6478 0.5084 1 0.024
H82_4 ? ? 0.3269 0.7371 0.5086 1 0.024
C9_4 ? ? 0.1960(4) 0.6196(4) 0.50837(8) 1 0.0167(2)
H91_4 ? ? 0.1515 0.6721 0.5057 1 0.020
H92_4 ? ? 0.2232 0.6230 0.5223 1 0.020
C10_4 ? ? 0.1479(4) 0.5253(4) 0.50411(7) 1 0.0176(2)
H101_4 ? ? 0.1897 0.4727 0.5086 1 0.021
H102_4 ? ? 0.0910 0.5209 0.5109 1 0.021
O6_5 ? ? 0.3201(3) 0.4325(3) 0.60816(5) 1 0.02081(16)
H1W_5 ? ? 0.355(2) 0.423(3) 0.6181(3) 1 0.025
H2W_5 ? ? 0.323(3) 0.388(2) 0.6007(5) 1 0.025
O7_5 ? ? 0.1949(3) 0.6748(3) 0.58559(6) 1 0.02090(17)
H3W_5 ? ? 0.184(3) 0.7164(19) 0.5931(4) 1 0.025
H4W_5 ? ? 0.157(2) 0.676(3) 0.5760(3) 1 0.025
Fe5_5 ? ? 0.25751(6) 0.55685(6) 0.597484(10) 1 0.01219(7)
O1_5 ? ? 0.3800(2) 0.5878(3) 0.58124(5) 1 0.01543(15)
O2_5 ? ? 0.3442(2) 0.6593(3) 0.61533(5) 1 0.01650(15)
O3_5 ? ? 0.2008(2) 0.5661(3) 0.62667(5) 1 0.01685(16)
O4_5 ? ? 0.1187(2) 0.4864(3) 0.59387(5) 1 0.01722(15)
O5_5 ? ? 0.2383(3) 0.4868(3) 0.56900(5) 1 0.02154(16)
C1_5 ? ? 0.4296(4) 0.6713(4) 0.58831(8) 1 0.0203(2)
H11_5 ? ? 0.3952 0.7283 0.5835 1 0.024
H12_5 ? ? 0.4918 0.6728 0.5836 1 0.024
C2_5 ? ? 0.4377(4) 0.6670(5) 0.61010(8) 1 0.0205(2)
H21_5 ? ? 0.4751 0.6119 0.6150 1 0.025
H22_5 ? ? 0.4679 0.7246 0.6159 1 0.025
C3_5 ? ? 0.3371(4) 0.6493(4) 0.63611(7) 1 0.0178(2)
H31_5 ? ? 0.3662 0.7035 0.6435 1 0.021
H32_5 ? ? 0.3679 0.5909 0.6412 1 0.021
C4_5 ? ? 0.2358(4) 0.6458(4) 0.63799(8) 1 0.0175(2)
H41_5 ? ? 0.2248 0.6383 0.6519 1 0.021
H42_5 ? ? 0.2051 0.7042 0.6328 1 0.021
C5_5 ? ? 0.1014(3) 0.5585(5) 0.62427(7) 1 0.0210(2)
H51_5 ? ? 0.0732 0.6146 0.6174 1 0.025
H52_5 ? ? 0.0773 0.5527 0.6372 1 0.025
C6_5 ? ? 0.0797(4) 0.4700(4) 0.61194(8) 1 0.0228(2)
H61_5 ? ? 0.1082 0.4140 0.6187 1 0.027
H62_5 ? ? 0.0119 0.4601 0.6095 1 0.027
C7_5 ? ? 0.1156(4) 0.4048(4) 0.58112(8) 1 0.0207(2)
H71_5 ? ? 0.0508 0.3834 0.5779 1 0.025
H72_5 ? ? 0.1521 0.3527 0.5877 1 0.025
C8_5 ? ? 0.1563(4) 0.4344(5) 0.56275(8) 1 0.0201(2)
H81_5 ? ? 0.1717 0.3785 0.5551 1 0.024
H82_5 ? ? 0.1117 0.4737 0.5544 1 0.024
C9_5 ? ? 0.3062(4) 0.4947(4) 0.55576(8) 1 0.0167(2)
H91_5 ? ? 0.2769 0.4940 0.5420 1 0.020
H92_5 ? ? 0.3510 0.4422 0.5576 1 0.020
C10_5 ? ? 0.3542(4) 0.5877(4) 0.56045(7) 1 0.0176(2)
H101_5 ? ? 0.4098 0.5936 0.5533 1 0.021
H102_5 ? ? 0.3118 0.6406 0.5566 1 0.021
O6_6 ? ? 0.1856(3) 0.6747(3) 0.70530(5) 1 0.02081(16)
H1W_6 ? ? 0.166(3) 0.681(3) 0.69369(19) 1 0.025
H2W_6 ? ? 0.158(2) 0.713(2) 0.7114(5) 1 0.025
O7_6 ? ? 0.3058(3) 0.4290(3) 0.72815(6) 1 0.02090(17)
H3W_6 ? ? 0.320(3) 0.428(3) 0.74012(17) 1 0.025
H4W_6 ? ? 0.314(3) 0.3748(12) 0.7246(5) 1 0.025
Fe6_6 ? ? 0.24535(6) 0.55114(6) 0.715983(11) 1 0.01219(7)
O1_6 ? ? 0.1199(2) 0.5229(3) 0.73185(5) 1 0.01543(15)
O2_6 ? ? 0.1574(2) 0.4450(3) 0.69807(5) 1 0.01650(15)
O3_6 ? ? 0.3028(2) 0.5397(3) 0.68718(5) 1 0.01685(16)
O4_6 ? ? 0.3852(2) 0.6192(3) 0.72033(5) 1 0.01722(15)
O5_6 ? ? 0.2648(2) 0.6200(3) 0.74484(5) 1 0.02154(16)
C1_6 ? ? 0.0721(4) 0.4392(5) 0.72524(8) 1 0.0203(2)
H11_6 ? ? 0.0098 0.4373 0.7299 1 0.024
H12_6 ? ? 0.1072 0.3829 0.7303 1 0.024
C2_6 ? ? 0.0642(4) 0.4421(5) 0.70299(8) 1 0.0205(2)
H21_6 ? ? 0.0319 0.3854 0.6973 1 0.025
H22_6 ? ? 0.0295 0.4985 0.6979 1 0.025
C3_6 ? ? 0.1665(4) 0.4531(4) 0.67751(7) 1 0.0178(2)
H31_6 ? ? 0.1346 0.5103 0.6720 1 0.021
