||Yu Chikamoto; Masakazu Hirotsu; Tatsuya Kawamoto; Takumi Konno|Alkylation of Nonbridging Thiolato Groups in an S-bridged CoIIIPdIICoIII Trinuclear Complex: Control of Geometrical Isomerism by Tuning Trans Influence Due to Sulfur Donors|Chemistry Letters|2005 34(3) 362
C14 H56 Cl4 Co2 N6 O7 Pd S6
? ? ? ? ? ?
P21
H24B 1 ? 0.6623 0.6174 0.2175 1 0.041
C25 1 ? 0.647(2) 0.660(2) 0.3186(19) 1 0.045(9)
H25A 1 ? 0.5824 0.6540 0.2952 1 0.053
H25B 1 ? 0.6615 0.7215 0.3118 1 0.053
C26 1 ? 0.8506(18) 0.561(2) 0.5791(17) 1 0.042(8)
H26A 1 ? 0.9129 0.5571 0.6166 1 0.051
H26B 1 ? 0.8354 0.6235 0.5689 1 0.051
C27 1 ? 0.792(2) 0.519(2) 0.6216(18) 1 0.051(9)
H27A 1 ? 0.8090 0.4576 0.6370 1 0.061
H27B 1 ? 0.7958 0.5514 0.6715 1 0.061
C28 1 ? 0.8873(18) 0.3959(16) 0.5125(19) 1 0.056(10)
H28A 1 ? 0.8841 0.3598 0.4654 1 0.067
H28B 1 ? 0.8565 0.3668 0.5434 1 0.067
H28C 1 ? 0.9488 0.4046 0.5486 1 0.067
