?|?||||
C56 H58 N2 O2 P4 Pd4 Se8 W2
10.55250(10) 15.1794(2) 21.2565(2) 90.00 98.7260(10) 90.00
P21/c
C12 1 ? 0.2835(8) 0.0223(6) 0.7088(8) 1 0.0469(19)
H12 1 ? 0.3221 -0.0008 0.6384 1 0.056
C13 1 ? 0.4684(9) 0.1647(5) 0.5608(6) 1 0.0401(17)
H13A 1 ? 0.5513 0.1722 0.5181 1 0.048
H13B 1 ? 0.4205 0.1150 0.5220 1 0.048
C14 2 ? 0.3864(12) 0.2500 0.5445(11) 1 0.041(2)
H14A 2 ? 0.3449 0.2500 0.4628 1 0.050
H14B 2 ? 0.3161 0.2500 0.6041 1 0.050
C15 2 ? 0.981(3) 0.7500 0.354(3) 1 0.129(9)
H15A 1 ? 0.9248 0.6972 0.3455 0.50 0.155
H15B 1 ? 0.9248 0.8028 0.3455 0.50 0.155
Cl1 2 ? 1.0863(10) 0.7500 0.2432(10) 1 0.173(3)
Cl2 2 ? 1.0520(10) 0.7500 0.5028(10) 1 0.175(3)
P1 1 ? 0.50687(18) 0.13485(11) 0.72252(16) 1 0.0295(4)
Pd1 2 ? 0.58682(8) 0.2500 0.84559(7) 1 0.0288(3)
Se1 1 ? 0.66407(9) 0.12328(5) 0.97816(7) 1 0.0448(3)
Se2 2 ? 0.63112(15) 0.2500 1.27901(12) 1 0.0599(4)
Se3 2 ? 0.95481(13) 0.2500 1.12581(14) 1 0.0589(4)
W1 2 ? 0.73095(4) 0.2500 1.09428(3) 1 0.0336(2)
