dblname	tag	index	value	filename
2000000	_atom_site_type_symbol	59	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	60	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	61	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	62	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	63	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	64	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	65	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	66	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	67	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	68	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	69	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	70	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	71	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	72	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	73	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	74	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	75	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	76	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	77	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	78	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	79	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	80	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	81	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	82	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	83	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	84	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	85	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	86	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	87	H	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	0	0.08652(1)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	1	0.00000	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	2	0.1104(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	3	0.2765(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	4	0.1692(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	5	0.3817(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	6	-0.0662(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	7	-0.1046(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	8	-0.2041(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	9	-0.1406(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	10	0.2875(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	11	0.3925(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	12	0.1131(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	13	0.0941(4)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	14	0.3018(4)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_x	15	0.3266(2)	tests/cif2tsv_010.inp
