dblname	tag	index	loopnr	value	filename
2000000	_atom_site_fract_x	56	3	-0.2875(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	57	3	-0.1131(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	58	3	-0.08652(1)	inputs/2000000.cif
2000000	_atom_site_fract_x	59	3	-0.3266(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	60	3	0.1002(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	61	3	0.2295(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	62	3	-0.3274(5)	inputs/2000000.cif
2000000	_atom_site_fract_x	63	3	-0.3266(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	64	3	0.1002(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	65	3	0.2295(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	66	3	-0.1991(49)	inputs/2000000.cif
2000000	_atom_site_fract_x	67	3	-0.4008(33)	inputs/2000000.cif
2000000	_atom_site_fract_x	68	3	-0.0390(56)	inputs/2000000.cif
2000000	_atom_site_fract_x	69	3	-0.2211(42)	inputs/2000000.cif
2000000	_atom_site_fract_x	70	3	-0.3817(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	71	3	-0.4411(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	72	3	0.1046(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	73	3	0.1363(7)	inputs/2000000.cif
2000000	_atom_site_fract_x	74	3	0.1406(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	75	3	0.3757(4)	inputs/2000000.cif
2000000	_atom_site_fract_x	76	3	-0.2961(67)	inputs/2000000.cif
2000000	_atom_site_fract_x	77	3	-0.2674(60)	inputs/2000000.cif
2000000	_atom_site_fract_x	78	3	-0.4668(10)	inputs/2000000.cif
2000000	_atom_site_fract_x	79	3	-0.3756(64)	inputs/2000000.cif
2000000	_atom_site_fract_x	80	3	-0.5401(51)	inputs/2000000.cif
2000000	_atom_site_fract_x	81	3	-0.5008(60)	inputs/2000000.cif
2000000	_atom_site_fract_x	82	3	0.0448(44)	inputs/2000000.cif
2000000	_atom_site_fract_x	83	3	0.0895(55)	inputs/2000000.cif
2000000	_atom_site_fract_x	84	3	0.2612(32)	inputs/2000000.cif
2000000	_atom_site_fract_x	85	3	0.4444(58)	inputs/2000000.cif
2000000	_atom_site_fract_x	86	3	0.3174(64)	inputs/2000000.cif
2000000	_atom_site_fract_x	87	3	0.4657(52)	inputs/2000000.cif
2000000	_atom_site_fract_y	0	3	0.91889(1)	inputs/2000000.cif
2000000	_atom_site_fract_y	1	3	1.00000	inputs/2000000.cif
2000000	_atom_site_fract_y	2	3	1.1320(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	3	3	1.1607(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	4	3	0.9534(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	5	3	0.9169(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	6	3	1.1611(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	7	3	1.0779(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	8	3	0.8361(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	9	3	0.7728(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	10	3	0.8905(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	11	3	0.2934(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	12	3	0.6666(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	13	3	0.6002(3)	inputs/2000000.cif
2000000	_atom_site_fract_y	14	3	0.5562(3)	inputs/2000000.cif
2000000	_atom_site_fract_y	15	3	0.9366(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	16	3	0.7568(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	17	3	1.2062(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	18	3	1.1743(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	19	3	0.9424(4)	inputs/2000000.cif
2000000	_atom_site_fract_y	20	3	0.6297(3)	inputs/2000000.cif
2000000	_atom_site_fract_y	21	3	1.3442(3)	inputs/2000000.cif
2000000	_atom_site_fract_y	22	3	1.3150(3)	inputs/2000000.cif
2000000	_atom_site_fract_y	23	3	0.9233(52)	inputs/2000000.cif
2000000	_atom_site_fract_y	24	3	0.9591(43)	inputs/2000000.cif
2000000	_atom_site_fract_y	25	3	0.2807(64)	inputs/2000000.cif
2000000	_atom_site_fract_y	26	3	0.2516(60)	inputs/2000000.cif
2000000	_atom_site_fract_y	27	3	0.5809(32)	inputs/2000000.cif
2000000	_atom_site_fract_y	28	3	0.6412(50)	inputs/2000000.cif
2000000	_atom_site_fract_y	29	3	0.6802(33)	inputs/2000000.cif
2000000	_atom_site_fract_y	30	3	0.6363(46)	inputs/2000000.cif
2000000	_atom_site_fract_y	31	3	0.4899(43)	inputs/2000000.cif
2000000	_atom_site_fract_y	32	3	0.6421(36)	inputs/2000000.cif
2000000	_atom_site_fract_y	33	3	0.9536(52)	inputs/2000000.cif
2000000	_atom_site_fract_y	34	3	0.8803(47)	inputs/2000000.cif
2000000	_atom_site_fract_y	35	3	1.0460(25)	inputs/2000000.cif
2000000	_atom_site_fract_y	36	3	0.6118(57)	inputs/2000000.cif
2000000	_atom_site_fract_y	37	3	0.5399(37)	inputs/2000000.cif
2000000	_atom_site_fract_y	38	3	0.6434(56)	inputs/2000000.cif
2000000	_atom_site_fract_y	39	3	1.3575(61)	inputs/2000000.cif
2000000	_atom_site_fract_y	40	3	1.4135(49)	inputs/2000000.cif
2000000	_atom_site_fract_y	41	3	1.3698(53)	inputs/2000000.cif
2000000	_atom_site_fract_y	42	3	1.3532(52)	inputs/2000000.cif
2000000	_atom_site_fract_y	43	3	1.3650(55)	inputs/2000000.cif
2000000	_atom_site_fract_y	44	3	1.3399(59)	inputs/2000000.cif
2000000	_atom_site_fract_y	45	3	0.8680(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	46	3	1.08111(1)	inputs/2000000.cif
2000000	_atom_site_fract_y	47	3	1.0466(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	48	3	0.8389(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	49	3	1.1639(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	50	3	0.7938(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	51	3	0.8393(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	52	3	1.0466(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	53	3	1.0831(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	54	3	0.9221(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	55	3	1.2272(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	56	3	1.1095(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	57	3	1.3334(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	58	3	1.08111(1)	inputs/2000000.cif
2000000	_atom_site_fract_y	59	3	1.0634(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	60	3	0.8257(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	61	3	1.2432(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	62	3	0.6558(3)	inputs/2000000.cif
2000000	_atom_site_fract_y	63	3	1.0634(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	64	3	0.8257(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	65	3	1.2432(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	66	3	1.0767(52)	inputs/2000000.cif
2000000	_atom_site_fract_y	67	3	1.0409(43)	inputs/2000000.cif
2000000	_atom_site_fract_y	68	3	1.4191(32)	inputs/2000000.cif
2000000	_atom_site_fract_y	69	3	1.3588(50)	inputs/2000000.cif
2000000	_atom_site_fract_y	70	3	1.0831(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	71	3	1.0576(4)	inputs/2000000.cif
2000000	_atom_site_fract_y	72	3	0.9221(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	73	3	0.6850(3)	inputs/2000000.cif
2000000	_atom_site_fract_y	74	3	1.2272(2)	inputs/2000000.cif
2000000	_atom_site_fract_y	75	3	1.3703(3)	inputs/2000000.cif
2000000	_atom_site_fract_y	76	3	0.6425(61)	inputs/2000000.cif
2000000	_atom_site_fract_y	77	3	0.5865(49)	inputs/2000000.cif
2000000	_atom_site_fract_y	78	3	0.6302(53)	inputs/2000000.cif
2000000	_atom_site_fract_y	79	3	1.0464(52)	inputs/2000000.cif
2000000	_atom_site_fract_y	80	3	1.1197(47)	inputs/2000000.cif
2000000	_atom_site_fract_y	81	3	0.9540(25)	inputs/2000000.cif
2000000	_atom_site_fract_y	82	3	0.6468(52)	inputs/2000000.cif
2000000	_atom_site_fract_y	83	3	0.6350(55)	inputs/2000000.cif
2000000	_atom_site_fract_y	84	3	0.6601(59)	inputs/2000000.cif
2000000	_atom_site_fract_y	85	3	1.3882(57)	inputs/2000000.cif
2000000	_atom_site_fract_y	86	3	1.4601(37)	inputs/2000000.cif
2000000	_atom_site_fract_y	87	3	1.3566(56)	inputs/2000000.cif
2000000	_atom_site_fract_z	0	3	0.33204(1)	inputs/2000000.cif
2000000	_atom_site_fract_z	1	3	0.00000	inputs/2000000.cif
2000000	_atom_site_fract_z	2	3	0.5666(2)	inputs/2000000.cif
