dblname	tag	index	value
2000000	_atom_site_type_symbol	85	3	H
2000000	_atom_site_type_symbol	86	3	H
2000000	_atom_site_type_symbol	87	3	H
2000000	_atom_site_fract_x	0	3	0.08652(1)
2000000	_atom_site_fract_x	1	3	0.00000
2000000	_atom_site_fract_x	2	3	0.1104(2)
2000000	_atom_site_fract_x	3	3	0.2765(3)
2000000	_atom_site_fract_x	4	3	0.1692(2)
2000000	_atom_site_fract_x	5	3	0.3817(2)
2000000	_atom_site_fract_x	6	3	-0.0662(2)
2000000	_atom_site_fract_x	7	3	-0.1046(2)
2000000	_atom_site_fract_x	8	3	-0.2041(2)
2000000	_atom_site_fract_x	9	3	-0.1406(3)
2000000	_atom_site_fract_x	10	3	0.2875(2)
2000000	_atom_site_fract_x	11	3	0.3925(3)
2000000	_atom_site_fract_x	12	3	0.1131(3)
2000000	_atom_site_fract_x	13	3	0.0941(4)
2000000	_atom_site_fract_x	14	3	0.3018(4)
2000000	_atom_site_fract_x	15	3	0.3266(2)
2000000	_atom_site_fract_x	16	3	-0.2295(2)
2000000	_atom_site_fract_x	17	3	0.2321(3)
2000000	_atom_site_fract_x	18	3	-0.1002(3)
2000000	_atom_site_fract_x	19	3	0.4411(3)
2000000	_atom_site_fract_x	20	3	-0.3757(4)
2000000	_atom_site_fract_x	21	3	0.3274(5)
2000000	_atom_site_fract_x	22	3	-0.1363(7)
2000000	_atom_site_fract_x	23	3	0.1991(49)
2000000	_atom_site_fract_x	24	3	0.4008(33)
2000000	_atom_site_fract_x	25	3	0.2912(38)
2000000	_atom_site_fract_x	26	3	0.3530(57)
2000000	_atom_site_fract_x	27	3	0.0390(56)
2000000	_atom_site_fract_x	28	3	0.2211(42)
2000000	_atom_site_fract_x	29	3	0.1026(80)
2000000	_atom_site_fract_x	30	3	0.0848(80)
2000000	_atom_site_fract_x	31	3	0.3767(53)
2000000	_atom_site_fract_x	32	3	0.3767(53)
2000000	_atom_site_fract_x	33	3	0.3756(64)
2000000	_atom_site_fract_x	34	3	0.5401(51)
2000000	_atom_site_fract_x	35	3	0.5008(60)
2000000	_atom_site_fract_x	36	3	-0.4444(58)
2000000	_atom_site_fract_x	37	3	-0.3174(64)
2000000	_atom_site_fract_x	38	3	-0.4657(52)
2000000	_atom_site_fract_x	39	3	0.2961(67)
2000000	_atom_site_fract_x	40	3	0.2674(60)
2000000	_atom_site_fract_x	41	3	0.4668(10)
2000000	_atom_site_fract_x	42	3	-0.0448(44)
2000000	_atom_site_fract_x	43	3	-0.0895(55)
2000000	_atom_site_fract_x	44	3	-0.2612(32)
2000000	_atom_site_fract_x	45	3	-0.1104(2)
2000000	_atom_site_fract_x	46	3	-0.08652(1)
2000000	_atom_site_fract_x	47	3	-0.1692(2)
2000000	_atom_site_fract_x	48	3	0.0662(2)
2000000	_atom_site_fract_x	49	3	0.2041(2)
2000000	_atom_site_fract_x	50	3	-0.2321(3)
2000000	_atom_site_fract_x	51	3	-0.2765(3)
2000000	_atom_site_fract_x	52	3	-0.1692(2)
2000000	_atom_site_fract_x	53	3	-0.3817(2)
2000000	_atom_site_fract_x	54	3	0.1046(2)
2000000	_atom_site_fract_x	55	3	0.1406(3)
2000000	_atom_site_fract_x	56	3	-0.2875(2)
2000000	_atom_site_fract_x	57	3	-0.1131(3)
2000000	_atom_site_fract_x	58	3	-0.08652(1)
2000000	_atom_site_fract_x	59	3	-0.3266(2)
2000000	_atom_site_fract_x	60	3	0.1002(3)
2000000	_atom_site_fract_x	61	3	0.2295(2)
2000000	_atom_site_fract_x	62	3	-0.3274(5)
2000000	_atom_site_fract_x	63	3	-0.3266(2)
2000000	_atom_site_fract_x	64	3	0.1002(3)
2000000	_atom_site_fract_x	65	3	0.2295(2)
2000000	_atom_site_fract_x	66	3	-0.1991(49)
2000000	_atom_site_fract_x	67	3	-0.4008(33)
2000000	_atom_site_fract_x	68	3	-0.0390(56)
2000000	_atom_site_fract_x	69	3	-0.2211(42)
2000000	_atom_site_fract_x	70	3	-0.3817(2)
2000000	_atom_site_fract_x	71	3	-0.4411(3)
2000000	_atom_site_fract_x	72	3	0.1046(2)
2000000	_atom_site_fract_x	73	3	0.1363(7)
2000000	_atom_site_fract_x	74	3	0.1406(3)
2000000	_atom_site_fract_x	75	3	0.3757(4)
2000000	_atom_site_fract_x	76	3	-0.2961(67)
2000000	_atom_site_fract_x	77	3	-0.2674(60)
2000000	_atom_site_fract_x	78	3	-0.4668(10)
2000000	_atom_site_fract_x	79	3	-0.3756(64)
2000000	_atom_site_fract_x	80	3	-0.5401(51)
2000000	_atom_site_fract_x	81	3	-0.5008(60)
2000000	_atom_site_fract_x	82	3	0.0448(44)
2000000	_atom_site_fract_x	83	3	0.0895(55)
2000000	_atom_site_fract_x	84	3	0.2612(32)
2000000	_atom_site_fract_x	85	3	0.4444(58)
2000000	_atom_site_fract_x	86	3	0.3174(64)
2000000	_atom_site_fract_x	87	3	0.4657(52)
2000000	_atom_site_fract_y	0	3	0.91889(1)
2000000	_atom_site_fract_y	1	3	1.00000
2000000	_atom_site_fract_y	2	3	1.1320(2)
2000000	_atom_site_fract_y	3	3	1.1607(2)
2000000	_atom_site_fract_y	4	3	0.9534(2)
2000000	_atom_site_fract_y	5	3	0.9169(2)
2000000	_atom_site_fract_y	6	3	1.1611(2)
2000000	_atom_site_fract_y	7	3	1.0779(2)
2000000	_atom_site_fract_y	8	3	0.8361(2)
2000000	_atom_site_fract_y	9	3	0.7728(2)
2000000	_atom_site_fract_y	10	3	0.8905(2)
2000000	_atom_site_fract_y	11	3	0.2934(2)
2000000	_atom_site_fract_y	12	3	0.6666(2)
2000000	_atom_site_fract_y	13	3	0.6002(3)
2000000	_atom_site_fract_y	14	3	0.5562(3)
2000000	_atom_site_fract_y	15	3	0.9366(2)
2000000	_atom_site_fract_y	16	3	0.7568(2)
2000000	_atom_site_fract_y	17	3	1.2062(2)
2000000	_atom_site_fract_y	18	3	1.1743(2)
2000000	_atom_site_fract_y	19	3	0.9424(4)
2000000	_atom_site_fract_y	20	3	0.6297(3)
2000000	_atom_site_fract_y	21	3	1.3442(3)
2000000	_atom_site_fract_y	22	3	1.3150(3)
2000000	_atom_site_fract_y	23	3	0.9233(52)
2000000	_atom_site_fract_y	24	3	0.9591(43)
2000000	_atom_site_fract_y	25	3	0.2807(64)
2000000	_atom_site_fract_y	26	3	0.2516(60)
2000000	_atom_site_fract_y	27	3	0.5809(32)
2000000	_atom_site_fract_y	28	3	0.6412(50)
2000000	_atom_site_fract_y	29	3	0.6802(33)
2000000	_atom_site_fract_y	30	3	0.6363(46)
2000000	_atom_site_fract_y	31	3	0.4899(43)
2000000	_atom_site_fract_y	32	3	0.6421(36)
2000000	_atom_site_fract_y	33	3	0.9536(52)
2000000	_atom_site_fract_y	34	3	0.8803(47)
2000000	_atom_site_fract_y	35	3	1.0460(25)
2000000	_atom_site_fract_y	36	3	0.6118(57)
2000000	_atom_site_fract_y	37	3	0.5399(37)
2000000	_atom_site_fract_y	38	3	0.6434(56)
2000000	_atom_site_fract_y	39	3	1.3575(61)
2000000	_atom_site_fract_y	40	3	1.4135(49)
2000000	_atom_site_fract_y	41	3	1.3698(53)
2000000	_atom_site_fract_y	42	3	1.3532(52)
2000000	_atom_site_fract_y	43	3	1.3650(55)
2000000	_atom_site_fract_y	44	3	1.3399(59)
2000000	_atom_site_fract_y	45	3	0.8680(2)
2000000	_atom_site_fract_y	46	3	1.08111(1)
2000000	_atom_site_fract_y	47	3	1.0466(2)
2000000	_atom_site_fract_y	48	3	0.8389(2)
2000000	_atom_site_fract_y	49	3	1.1639(2)
2000000	_atom_site_fract_y	50	3	0.7938(2)
2000000	_atom_site_fract_y	51	3	0.8393(2)
2000000	_atom_site_fract_y	52	3	1.0466(2)
2000000	_atom_site_fract_y	53	3	1.0831(2)
2000000	_atom_site_fract_y	54	3	0.9221(2)
2000000	_atom_site_fract_y	55	3	1.2272(2)
2000000	_atom_site_fract_y	56	3	1.1095(2)
2000000	_atom_site_fract_y	57	3	1.3334(2)
2000000	_atom_site_fract_y	58	3	1.08111(1)
2000000	_atom_site_fract_y	59	3	1.0634(2)
2000000	_atom_site_fract_y	60	3	0.8257(2)
2000000	_atom_site_fract_y	61	3	1.2432(2)
2000000	_atom_site_fract_y	62	3	0.6558(3)
2000000	_atom_site_fract_y	63	3	1.0634(2)
2000000	_atom_site_fract_y	64	3	0.8257(2)
