"Generators of the (3+1)-Dimensional Superspace Groups",,,,,,
"Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch",,,,,,
"November 2006",,,,,,
" ",,,,,,
"Group Symbol","Equivalent","Generator 1","Generator 2","Generator 3","Generator 4",
"21.6 A222(00g)00s",,"x1,-x2,-x3,-x4","-x1,x2,-x3,-x4+1/2","-x1,-x2,x3,x4+1/2"," "," "
"21.7 A222(1/20g)","00s","x1,-x2,-x3,x1-x4","-x1,x2,-x3,-x4","-x1,-x2,x3,-x1+x4"," "," "
"22.1 F222(00g)",,"x1,-x2,-x3,-x4","-x1,x2,-x3,-x4","-x1,-x2,x3,x4"," "," "
"22.2 F222(00g)00s",,"x1,-x2,-x3,-x4","-x1,x2,-x3,-x4+1/2","-x1,-x2,x3,x4+1/2"," "," "
"22.3 F222(10g)","00s","x1,-x2,-x3,2x1-x4","-x1,x2,-x3,-x4","-x1,-x2,x3,-2x1+x4"," "," "
"23.1 I222(00g)",,"x1,-x2,-x3,-x4","-x1,x2,-x3,-x4","-x1,-x2,x3,x4"," "," "
"23.2 I222(00g)00s",,"x1,-x2,-x3,-x4","-x1,x2,-x3,-x4+1/2","-x1,-x2,x3,x4+1/2"," "," "
"24.1 I2_12_12_1(00g)",,"x1,-x2,-x3+1/2,-x4","-x1+1/2,x2,-x3,-x4","-x1,-x2+1/2,x3,x4"," "," "
"24.2 I2_12_12_1(00g)00s",,"x1,-x2,-x3+1/2,-x4","-x1+1/2,x2,-x3,-x4+1/2","-x1,-x2+1/2,x3,x4+1/2"," "," "
"25.1 Pmm2(00g)",,"-x1,x2,x3,x4","x1,-x2,x3,x4","-x1,-x2,x3,x4"," "," "
"25.2 Pmm2(00g)s0s","0ss","-x1,x2,x3,x4+1/2","x1,-x2,x3,x4","-x1,-x2,x3,x4+1/2"," "," "
"25.3 Pmm2(00g)ss0",,"-x1,x2,x3,x4+1/2","x1,-x2,x3,x4+1/2","-x1,-x2,x3,x4"," "," "
"25.4 Pmm2(01/2g)","0ss","-x1,x2,x3,x4","x1,-x2,x3,-x2+x4","-x1,-x2,x3,-x2+x4"," "," "
"25.5 Pmm2(01/2g)s0s","ss0","-x1,x2,x3,x4+1/2","x1,-x2,x3,-x2+x4","-x1,-x2,x3,-x2+x4+1/2"," "," "
"25.6 Pmm2(1/21/2g)","0ss,s0s,ss0","-x1,x2,x3,-x1+x4","x1,-x2,x3,-x2+x4","-x1,-x2,x3,-x1-x2+x4"," "," "
"25.7 Pm2m(01/2g)",,"-x1,x2,x3,x4","-x1,x2,-x3,x2-x4","x1,x2,-x3,x2-x4"," "," "
"25.8 Pm2m(01/2g)s00",,"-x1,x2,x3,x4+1/2","-x1,x2,-x3,x2-x4","x1,x2,-x3,x2-x4+1/2"," "," "
"25.9 P2mm(00g)",,"x1,-x2,-x3,-x4","x1,-x2,x3,x4","x1,x2,-x3,-x4"," "," "
"25.10 P2mm(00g)0s0",,"x1,-x2,-x3,-x4","x1,-x2,x3,x4+1/2","x1,x2,-x3,-x4+1/2"," "," "
"25.11 P2mm(01/2g)","0s0","x1,-x2,-x3,-x4","x1,-x2,x3,-x2+x4","x1,x2,-x3,x2-x4"," "," "
"25.12 P2mm(1/21/2g)","0s0","x1,-x2,-x3,x1-x4","x1,-x2,x3,-x2+x4","x1,x2,-x3,x1+x2-x4"," "," "
"26.1 Pmc2_1(00g)","0ss","-x1,x2,x3,x4","x1,-x2,x3+1/2,x4","-x1,-x2,x3+1/2,x4"," "," "
"26.2 Pmc2_1(00g)s0s","ss0","-x1,x2,x3,x4+1/2","x1,-x2,x3+1/2,x4","-x1,-x2,x3+1/2,x4+1/2"," "," "
"26.3 Pmc2_1(01/2g)","0ss","-x1,x2,x3,x4","x1,-x2,x3+1/2,-x2+x4","-x1,-x2,x3+1/2,-x2+x4"," "," "
"26.4 Pmc2_1(01/2g)s0s","ss0","-x1,x2,x3,x4+1/2","x1,-x2,x3+1/2,-x2+x4","-x1,-x2,x3+1/2,-x2+x4+1/2"," "," "
"26.5 Pcm2_1(01/2g)","0ss,s0s,ss0","-x1,x2,x3+1/2,x4","x1,-x2,x3,-x2+x4","-x1,-x2,x3+1/2,-x2+x4"," "," "
"26.6 Pmc2_1(1/21/2g)","0ss,s0s,ss0","-x1,x2,x3,-x1+x4","x1,-x2,x3+1/2,-x2+x4","-x1,-x2,x3+1/2,-x1-x2+x4"," "," "
