../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006136.cif: WARNING, _chemical_melting_point value is '396-397'', it should be numeric, i.e.'FLOAT or 'INT', permitted range [0.0;+inf], given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006138.cif: NOTE, _chemical_melting_point value '430-431' changed to '430.5(5)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006139.cif: NOTE, _chemical_melting_point value '428-429.5' changed to '428.8(8)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006140.cif: NOTE, _chemical_melting_point value '418-420' changed to '419.0(10)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006141.cif: NOTE, _chemical_melting_point value '423-426' changed to '424.5(15)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006142.cif: NOTE, _chemical_melting_point value '467-469.5' changed to '468.2(13)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006171.cif: NOTE, _chemical_melting_point value '127.5-128.5' changed to '128.0(5)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006181.cif: NOTE, '_chemical_melting_point' tag changed to '_chemical_melting_point_gt' since the value specified 'more than' ('>') acertain temperature. Value '> 350' changed to '350' - value should be numeric, i.e. 'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006199.cif: NOTE, _diffrn_ambient_temperature value '293 K' changed to '293' - value should be numeric, i.e.'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006199.cif: NOTE, _chemical_melting_point value '112\%C' changed to '385.15' - converted between degrees Celsius(C) and Kelvins(K), value should be numeric, permitted range [0.0;+inf] given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006243.cif: NOTE, _chemical_melting_point value '378-379' changed to '378.5(5)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006269.cif: NOTE, _chemical_melting_point value '485-487' changed to '486.0(10)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006277.cif: NOTE, _chemical_melting_point value '328-331 K' changed to '329.5(15)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006300.cif: NOTE, _chemical_melting_point value '527K' changed to '527' - value should be numeric, i.e.'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006313.cif: NOTE, _chemical_melting_point value '419.9 - 420.11' changed to '420.00(11)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006338.cif: NOTE, _chemical_melting_point value '136(1)_C' changed to '409.1(10)' - converted between degrees Celsius(C) and Kelvins(K), value should be numeric, permitted range [0.0;+inf] given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006343.cif: WARNING, _chemical_melting_point value is 'Decomposes before melting', it should be numeric, i.e.'FLOAT or 'INT', permitted range [0.0;+inf], given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006351.cif: NOTE, _chemical_melting_point value '97-98' changed to '97.5(5)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006367.cif: NOTE, _chemical_melting_point value '134--135.5' changed to '134.8(8)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006372.cif: NOTE, _chemical_melting_point value '83-85\%' changed to '357.1(10)' - converted between degrees Celsius(C) and Kelvins(K), took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006373.cif: NOTE, _chemical_melting_point value '96-97\%' changed to '369.6(5)' - converted between degrees Celsius(C) and Kelvins(K), took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006411.cif: NOTE, _chemical_melting_point value '92-96 C' changed to '367(2)' - converted between degrees Celsius(C) and Kelvins(K), took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006417.cif: WARNING, _chemical_melting_point value is '222-225 (lit. 218-220\%C)', it should be numeric, i.e.'FLOAT or 'INT', permitted range [0.0;+inf], given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006440.cif: NOTE, _chemical_melting_point value '255\%C' changed to '528.15' - converted between degrees Celsius(C) and Kelvins(K), value should be numeric, permitted range [0.0;+inf] given in Kelvins(K) without temperature units.
